"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8291,6.5217,1.3723,2.7489,0.82476,0,1.708,0.49688,1.3074,1,0.376,0.376,0.2,0
1.8291,6.5216,1.3723,2.7488,0.82474,0,1.708,0.49688,1.3074,1,0.378,0.378,0.2,0
1.8291,6.5215,1.3722,2.7488,0.82472,0,1.708,0.49688,1.3074,1,0.38,0.38,0.2,0
1.8291,6.5215,1.3722,2.7488,0.8247,0,1.708,0.49687,1.3073,1,0.382,0.382,0.2,0
1.8291,6.5214,1.3722,2.7487,0.82468,0,1.708,0.49687,1.3073,1,0.384,0.384,0.2,0
1.8291,6.5213,1.3722,2.7487,0.82466,0,1.708,0.49687,1.3073,1,0.386,0.386,0.2,0
1.8291,6.5212,1.3722,2.7487,0.82464,0,1.708,0.49687,1.3073,1,0.388,0.388,0.2,0
1.8291,6.5212,1.3722,2.7486,0.82463,0,1.708,0.49687,1.3073,1,0.39,0.39,0.2,0
1.8291,6.5211,1.3722,2.7486,0.82459,0,1.708,0.49686,1.3073,1,0.392,0.392,0.2,0
1.8291,6.521,1.3721,2.7486,0.82456,0,1.708,0.49685,1.3073,1,0.394,0.394,0.2,0
1.8291,6.5209,1.3721,2.7485,0.82453,0,1.708,0.49684,1.3073,1,0.396,0.396,0.2,0
1.8291,6.5208,1.3721,2.7485,0.8245,0,1.7079,0.49683,1.3073,1,0.398,0.398,0.2,0
1.8291,6.5207,1.3721,2.7485,0.82447,0,1.7079,0.49682,1.3073,1,0.4,0.4,0.2,0
1.8291,6.5206,1.3721,2.7485,0.82446,0,1.7079,0.49682,1.3073,1,0.402,0.402,0.2,0
1.8291,6.5206,1.3721,2.7484,0.82444,0,1.7079,0.49682,1.3073,1,0.404,0.404,0.2,0
1.8291,6.5205,1.3721,2.7484,0.82443,0,1.7079,0.49682,1.3073,1,0.406,0.406,0.2,0
1.8291,6.5205,1.3721,2.7484,0.82442,0,1.7079,0.49682,1.3073,1,0.408,0.408,0.2,0
1.8291,6.5204,1.372,2.7484,0.8244,0,1.7079,0.49682,1.3073,1,0.41,0.41,0.2,0
1.8291,6.5204,1.372,2.7483,0.82439,0,1.7079,0.49681,1.3073,1,0.412,0.412,0.2,0
1.8291,6.5203,1.372,2.7483,0.82437,0,1.7079,0.49681,1.3072,1,0.414,0.414,0.2,0
1.8291,6.5202,1.372,2.7483,0.82436,0,1.7079,0.49681,1.3072,1,0.416,0.416,0.2,0
1.8291,6.5202,1.372,2.7483,0.82434,0,1.7079,0.49681,1.3072,1,0.418,0.418,0.2,0
1.8291,6.5201,1.372,2.7482,0.82433,0,1.7079,0.49681,1.3072,1,0.42,0.42,0.2,0
1.8291,6.5201,1.372,2.7482,0.82432,0,1.7079,0.49681,1.3072,1,0.422,0.422,0.2,0
1.8291,6.52,1.372,2.7482,0.8243,0,1.7079,0.49681,1.3072,1,0.424,0.424,0.2,0
1.8291,6.52,1.3719,2.7482,0.82429,0,1.7079,0.4968,1.3072,1,0.426,0.426,0.2,0
1.8291,6.5199,1.3719,2.7482,0.82427,0,1.7079,0.4968,1.3072,1,0.428,0.428,0.2,0
1.8291,6.5198,1.3719,2.7481,0.82424,0,1.7079,0.49679,1.3072,1,0.43,0.43,0.2,0
1.8291,6.5198,1.3719,2.7481,0.82422,0,1.7079,0.49679,1.3072,1,0.432,0.432,0.2,0
1.8291,6.5197,1.3719,2.7481,0.8242,0,1.7078,0.49678,1.3072,1,0.434,0.434,0.2,0
1.8291,6.5197,1.3719,2.7481,0.82417,0,1.7078,0.49678,1.3072,1,0.436,0.436,0.2,0
1.8291,6.5196,1.3719,2.7481,0.82415,0,1.7078,0.49677,1.3072,1,0.438,0.438,0.2,0
1.8291,6.5195,1.3719,2.7481,0.82412,0,1.7078,0.49676,1.3071,1,0.44,0.44,0.2,0
1.8291,6.5195,1.3719,2.7481,0.8241,0,1.7078,0.49676,1.3071,1,0.442,0.442,0.2,0
1.8291,6.5194,1.3719,2.7481,0.82408,0,1.7078,0.49675,1.3071,1,0.444,0.444,0.2,0
1.8292,6.5194,1.3719,2.7481,0.82408,0,1.7078,0.49676,1.3071,1,0.446,0.446,0.2,0
1.8292,6.5194,1.3719,2.7481,0.82409,0,1.7078,0.49677,1.3071,1,0.448,0.448,0.2,0
1.8292,6.5195,1.3718,2.7481,0.82411,0,1.7078,0.49678,1.3071,1,0.45,0.45,0.2,0
1.8292,6.5195,1.3718,2.7481,0.82412,0,1.7079,0.49679,1.3071,1,0.452,0.452,0.2,0
1.8293,6.5196,1.3718,2.7481,0.82414,0,1.7079,0.4968,1.3071,1,0.454,0.454,0.2,0
1.8293,6.5195,1.3718,2.7481,0.82412,0,1.7079,0.4968,1.3071,1,0.456,0.456,0.2,0
1.8293,6.5195,1.3718,2.7481,0.8241,0,1.7079,0.49679,1.3071,1,0.458,0.458,0.2,0
1.8293,6.5195,1.3718,2.7481,0.82408,0,1.7079,0.49679,1.3071,1,0.46,0.46,0.2,0
1.8293,6.5194,1.3718,2.7481,0.82406,0,1.7079,0.49678,1.3071,1,0.462,0.462,0.2,0
1.8293,6.5194,1.3718,2.7481,0.82404,0,1.7078,0.49678,1.307,1,0.464,0.464,0.2,0
1.8293,6.5194,1.3718,2.7481,0.82402,0,1.7078,0.49678,1.307,1,0.466,0.466,0.2,0
1.8293,6.5193,1.3718,2.7481,0.824,0,1.7078,0.49677,1.307,1,0.468,0.468,0.2,0
1.8293,6.5193,1.3718,2.7481,0.82399,0,1.7078,0.49677,1.307,1,0.47,0.47,0.2,0
1.8293,6.5193,1.3718,2.7481,0.82397,0,1.7078,0.49676,1.307,1,0.472,0.472,0.2,0
1.8293,6.5192,1.3718,2.7481,0.82398,0,1.7078,0.49675,1.307,1,0.474,0.474,0.2,0
1.8293,6.5191,1.3719,2.7481,0.82397,0,1.7077,0.49672,1.307,1,0.476,0.476,0.2,0
1.8292,6.5188,1.372,2.7481,0.82391,0,1.7076,0.49664,1.3069,1,0.478,0.478,0.2,0
