"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         295,      -6.849888348,      -6.564699645,      -6.903745138,      -6.261808292
          0,           0,         296,      -6.848582557,      -6.563587305,      -6.901926045,      -6.259857674
          0,           0,         297,      -6.845985369,      -6.561071069,      -6.896825422,      -6.256374627
          0,           0,         298,      -6.854655937,      -6.572189526,      -6.914545887,      -6.269173312
          0,           0,         299,      -6.861514244,      -6.579651891,      -6.922281712,      -6.278832044
          0,           0,         300,      -6.865889099,      -6.584115876,      -6.925602549,      -6.284196326
          0,           0,         301,      -6.868157033,      -6.586179596,      -6.926411219,      -6.285847909
          0,           0,         302,      -6.868574086,      -6.586231269,       -6.92522134,      -6.284658948
          0,           0,         303,      -6.867403026,      -6.584647743,      -6.922084227,      -6.281546702
          0,           0,         304,       -6.86487249,      -6.581765086,       -6.91714659,      -6.277139387
          0,           0,         305,      -6.861161601,      -6.577875734,       -6.91075111,      -6.271724192
          0,           0,         306,      -6.869181047,      -6.588312495,       -6.92761196,      -6.283605382
          0,           0,         307,      -6.875450166,      -6.595212905,      -6.934772508,      -6.292580141
          0,           0,         308,      -6.879372815,      -6.599319935,      -6.937632603,      -6.297532413
          0,           0,         309,      -6.881301208,      -6.601195482,      -6.938089864,      -6.298944223
          0,           0,         310,      -6.881478059,      -6.601187686,      -6.936667803,      -6.297609402
          0,           0,         311,      -6.880151219,      -6.599636514,      -6.933400383,      -6.294403455
          0,           0,         312,      -6.877548469,      -6.596854641,      -6.928395217,      -6.289961049
          0,           0,         313,      -6.873823225,       -6.59308496,      -6.921961191,      -6.284549916
          0,           0,         314,      -6.881685812,      -6.603501628,      -6.938540807,       -6.29623359
          0,           0,         315,      -6.887835346,      -6.610399066,      -6.945586431,      -6.305070944
          0,           0,         316,      -6.891692505,      -6.614530732,      -6.948387947,       -6.30996057
          0,           0,         317,      -6.893596137,       -6.61644749,      -6.948803915,      -6.311357477
          0,           0,         318,      -6.894442213,      -6.616930897,       -6.94545729,      -6.310824487
          0,           0,         319,      -6.893132301,      -6.615421723,      -6.942139521,      -6.307579377
          0,           0,         320,      -6.890361869,      -6.612598376,      -6.937488862,      -6.302937007
          0,           0,         321,      -6.886492004,      -6.608823885,      -6.931331323,      -6.297399036
          0,           0,         322,       -6.89433472,      -6.619359394,      -6.947716105,      -6.309071612
          0,           0,         323,      -6.900420718,      -6.626335299,      -6.954919262,      -6.317859832
          0,           0,         324,      -6.904248604,       -6.63054171,      -6.957934287,      -6.322738464
          0,           0,         325,      -6.906169227,      -6.632529482,      -6.958542749,      -6.324170979
          0,           0,         326,      -6.906388724,      -6.632615661,      -6.957254775,      -6.322893707
          0,           0,         327,      -6.905110261,      -6.631105939,      -6.954107447,      -6.319720153
